insured name,insured address,country of incorporation,business_description,risk_type,broker _contact,class_of_business,submission_date,claims_frequency,Largest_single_loss,incurred_Loss,Ultimate_Premium,Loss_Ratio,TIV
BlueWave Group PLC,"28 Business Park, City_86, UK",United Kingdom,Construction Contractor,Products Liability,Aon UK Ltd,Property Damage & BI,24-01-2026,0,230092,2928309,3661302,0.7998,33109993
Ironclad Energy Services Ltd,"22 Business Park, City_80, UK",France,Construction Contractor,Energy Offshore,Aon UK Ltd,Casualty,03-03-2026,1,2544217,5271698,10478430,0.5031,291923024
Crown Group PLC,"119 Business Park, City_41, UK",United States,Electronics Manufacturing,Marine Hull,WTW London,Property Damage & BI,21-02-2026,5,30408,202574,1110606,0.1824,938274578
BlueWave Foods Ltd,"166 Business Park, City_180, UK",Germany,Retail & Distribution,Industrial All Risks,Gallagher London,Property Damage & BI,23-03-2026,2,3763056,4843133,12187050,0.3974,1225877045
Northbridge Capital Partners Ltd,"229 Business Park, City_63, UK",Germany,Electronics Manufacturing,Products Liability,Gallagher London,Financial Lines,15-02-2026,0,5783471,6776649,9440860,0.7178,345503644
Harbour Engineering Ltd,"181 Business Park, City_73, UK",United Kingdom,Financial Advisory,Professional Indemnity,BMS Group,Marine,31-03-2026,3,141284,2492441,3604398,0.6915,654044836
Ironclad Technologies Ltd,"242 Business Park, City_28, UK",United States,Electronics Manufacturing,Industrial All Risks,BMS Group,Property Damage & BI,01-02-2026,0,1694606,3701975,4256123,0.8698,321015618
Ironclad Engineering Ltd,"189 Business Park, City_128, UK",United States,Oil & Gas Services,General Liability,Aon UK Ltd,Property Damage & BI,05-01-2026,4,148546,217755,897962,0.2425,4071163
Silverstone Industries Ltd,"30 Business Park, City_60, UK",France,Financial Advisory,Industrial All Risks,Marsh Ltd,Marine,16-03-2026,5,41400,310295,2211654,0.1403,458054836
Silverstone Technologies Ltd,"11 Business Park, City_139, UK",France,Financial Advisory,General Liability,Lockton Companies,Products Liability,17-03-2026,0,82996,107424,398458,0.2696,521875533
Trinity Logistics Ltd,"37 Business Park, City_90, UK",France,Marine Shipping,Energy Offshore,Gallagher London,Products Liability,21-02-2026,3,272413,451483,2174778,0.2076,677629543
Ironclad Shipping Ltd,"108 Business Park, City_142, UK",France,Construction Contractor,Marine Hull,WTW London,Products Liability,24-03-2026,1,28727,161650,406669,0.3975,54152910
Ironclad Capital Partners Ltd,"36 Business Park, City_62, UK",United Kingdom,Marine Shipping,Marine Hull,Gallagher London,Marine,10-01-2026,2,4212957,7975314,8373034,0.9525,651209971
Harbour Energy Services Ltd,"216 Business Park, City_179, UK",United States,Construction Contractor,Products Liability,Marsh Ltd,Marine,31-01-2026,0,2670408,4719029,5172106,0.9124,1424287314
BlueWave Engineering Ltd,"25 Business Park, City_156, UK",Singapore,Construction Contractor,Industrial All Risks,Marsh Ltd,Property Damage & BI,26-01-2026,0,922571,2424192,8056471,0.3009,114070014
Trinity Energy Services Ltd,"172 Business Park, City_74, UK",Netherlands,Food Processing,Industrial All Risks,BMS Group,Casualty,14-03-2026,5,1094374,3122939,8986875,0.3475,1259718732
Crown Shipping Ltd,"216 Business Park, City_141, UK",Germany,Marine Shipping,Professional Indemnity,Aon UK Ltd,Financial Lines,18-01-2026,5,2869410,3069734,5218861,0.5882,1224889361
Sterling Energy Services Ltd,"120 Business Park, City_175, UK",Germany,Electronics Manufacturing,General Liability,Gallagher London,Products Liability,27-01-2026,2,432531,1062931,2874341,0.3698,770217695
Trinity Energy Services Ltd,"101 Business Park, City_91, UK",Netherlands,Oil & Gas Services,Energy Offshore,Gallagher London,Marine,13-01-2026,5,65041,204568,935383,0.2187,115540078
Sterling Engineering Ltd,"180 Business Park, City_140, UK",United Kingdom,Food Processing,Products Liability,Gallagher London,Property Damage & BI,13-03-2026,0,3430695,3906144,7671141,0.5092,637596897
Ironclad Energy Services Ltd,"61 Business Park, City_32, UK",Netherlands,Construction Contractor,Industrial All Risks,Marsh Ltd,Products Liability,22-01-2026,2,52386,375095,5499927,0.0682,199905901
Ironclad Holdings Ltd,"142 Business Park, City_149, UK",United Kingdom,Oil & Gas Services,Products Liability,Howden UK,Financial Lines,19-02-2026,4,3634544,4211029,4857012,0.867,246591718
Summit Logistics Ltd,"35 Business Park, City_15, UK",Germany,Electronics Manufacturing,Products Liability,Gallagher London,Products Liability,03-02-2026,0,17281,118934,698794,0.1702,1091272325
Everest Holdings Ltd,"86 Business Park, City_101, UK",Singapore,Construction Contractor,Marine Hull,WTW London,Casualty,27-02-2026,2,1028414,1398265,4679602,0.2988,1366193709
Greenfield Holdings Ltd,"41 Business Park, City_143, UK",France,Marine Shipping,Marine Hull,Gallagher London,Financial Lines,21-03-2026,5,1372484,5453405,9130094,0.5973,885340499
Trinity Engineering Ltd,"15 Business Park, City_174, UK",France,Retail & Distribution,Professional Indemnity,WTW London,Products Liability,05-03-2026,3,1384022,2579832,4249436,0.6071,153860147
Trinity Foods Ltd,"133 Business Park, City_137, UK",Singapore,Electronics Manufacturing,Products Liability,Howden UK,Casualty,05-02-2026,5,1368445,3947245,11928818,0.3309,1296040505
Greenfield Shipping Ltd,"191 Business Park, City_144, UK",Singapore,Manufacturing,Industrial All Risks,Howden UK,Financial Lines,27-02-2026,6,8183,219200,1322079,0.1658,637214396
Harbour Shipping Ltd,"8 Business Park, City_141, UK",Netherlands,Construction Contractor,Products Liability,Gallagher London,Marine,17-01-2026,6,1547250,3659329,6766511,0.5408,317583850
BlueWave Foods Ltd,"236 Business Park, City_81, UK",France,Manufacturing,Products Liability,Aon UK Ltd,Products Liability,13-03-2026,5,249756,563425,1937502,0.2908,979270972
Everest Logistics Ltd,"17 Business Park, City_186, UK",Germany,Oil & Gas Services,Products Liability,Marsh Ltd,Products Liability,29-03-2026,4,5841724,6655754,8918337,0.7463,361548650
Northbridge Holdings Ltd,"134 Business Park, City_140, UK",France,Financial Advisory,Industrial All Risks,Gallagher London,Products Liability,18-01-2026,4,1745939,6183574,8839992,0.6995,508823749
Northbridge Shipping Ltd,"202 Business Park, City_187, UK",Netherlands,Financial Advisory,Industrial All Risks,Gallagher London,Property Damage & BI,23-01-2026,2,3242050,3544588,7481192,0.4738,201694241
Everest Holdings Ltd,"178 Business Park, City_32, UK",Netherlands,Oil & Gas Services,Energy Offshore,WTW London,Energy,01-02-2026,2,1714718,1828275,11682274,0.1565,552790876
Crown Industries Ltd,"36 Business Park, City_197, UK",Germany,Oil & Gas Services,General Liability,Gallagher London,Products Liability,28-03-2026,1,2578697,9760696,13195480,0.7397,591193261
Everest Energy Services Ltd,"223 Business Park, City_71, UK",France,Marine Shipping,Products Liability,WTW London,Property Damage & BI,22-02-2026,4,2970570,7672496,11057064,0.6939,420374813
Greenfield Holdings Ltd,"51 Business Park, City_115, UK",United Kingdom,Oil & Gas Services,Products Liability,Howden UK,Financial Lines,08-02-2026,3,133939,506197,685811,0.7381,898778351
BlueWave Group PLC,"228 Business Park, City_40, UK",Singapore,Financial Advisory,Products Liability,WTW London,Casualty,23-03-2026,5,884,1138652,1466391,0.7765,1465816922
Atlantic Engineering Ltd,"52 Business Park, City_105, UK",United States,Retail & Distribution,Energy Offshore,Marsh Ltd,Financial Lines,09-03-2026,2,2335211,3713395,6323903,0.5872,1124407508
Atlantic Shipping Ltd,"186 Business Park, City_138, UK",Singapore,Retail & Distribution,Energy Offshore,Aon UK Ltd,Financial Lines,22-02-2026,5,1541629,8966355,9842322,0.911,617485321
Highland Shipping Ltd,"220 Business Park, City_150, UK",France,Electronics Manufacturing,Industrial All Risks,WTW London,Property Damage & BI,06-02-2026,3,5096815,5435165,7318117,0.7427,1279491759
Everest Engineering Ltd,"128 Business Park, City_175, UK",United Kingdom,Food Processing,General Liability,Lockton Companies,Energy,24-01-2026,1,35739,7084525,12657719,0.5597,677079490
Greenfield Engineering Ltd,"160 Business Park, City_79, UK",United States,Manufacturing,Professional Indemnity,Gallagher London,Marine,31-03-2026,2,205252,2144371,7820464,0.2742,357844487
Ironclad Holdings Ltd,"155 Business Park, City_86, UK",France,Construction Contractor,Industrial All Risks,WTW London,Property Damage & BI,08-02-2026,3,9316072,9872045,11182652,0.8828,471231907
Trinity Energy Services Ltd,"118 Business Park, City_185, UK",United Kingdom,Oil & Gas Services,General Liability,BMS Group,Energy,15-03-2026,5,2802110,4313512,12872313,0.3351,359477366
Ironclad Technologies Ltd,"236 Business Park, City_41, UK",Singapore,Retail & Distribution,Professional Indemnity,Aon UK Ltd,Property Damage & BI,01-03-2026,0,195144,227587,2363318,0.0963,115418347
Oakridge Energy Services Ltd,"65 Business Park, City_159, UK",France,Construction Contractor,Energy Offshore,Aon UK Ltd,Casualty,25-01-2026,1,5651520,12293085,14565267,0.844,1381023553
Trinity Shipping Ltd,"92 Business Park, City_7, UK",France,Retail & Distribution,Products Liability,Gallagher London,Products Liability,12-01-2026,5,440511,795205,950634,0.8365,212670421
Highland Group PLC,"71 Business Park, City_167, UK",Germany,Electronics Manufacturing,General Liability,Howden UK,Casualty,01-04-2026,6,2048612,3631890,8244927,0.4405,1035550204
Ironclad Industries Ltd,"159 Business Park, City_58, UK",Singapore,Financial Advisory,Marine Hull,Marsh Ltd,Financial Lines,01-04-2026,5,2023032,2767351,9172527,0.3017,1156222276
Sterling Logistics Ltd,"249 Business Park, City_144, UK",Singapore,Financial Advisory,Products Liability,Gallagher London,Casualty,15-03-2026,1,802666,1462568,2755924,0.5307,1049298384
Summit Capital Partners Ltd,"210 Business Park, City_3, UK",Germany,Food Processing,Products Liability,Marsh Ltd,Financial Lines,31-01-2026,6,1167537,6119421,12015358,0.5093,546573181
Highland Industries Ltd,"247 Business Park, City_130, UK",Singapore,Oil & Gas Services,Energy Offshore,Howden UK,Products Liability,30-03-2026,0,3313892,5183938,6880725,0.7534,887355129
Harbour Energy Services Ltd,"130 Business Park, City_158, UK",Netherlands,Marine Shipping,Industrial All Risks,Gallagher London,Financial Lines,02-03-2026,1,1568102,7153062,8738166,0.8186,835013759
Redwood Capital Partners Ltd,"68 Business Park, City_54, UK",Germany,Electronics Manufacturing,Professional Indemnity,Marsh Ltd,Property Damage & BI,17-01-2026,3,150504,4022682,8905651,0.4517,1467079281
Greenfield Energy Services Ltd,"11 Business Park, City_15, UK",United Kingdom,Retail & Distribution,Energy Offshore,Lockton Companies,Energy,09-02-2026,3,1354006,1595559,1803707,0.8846,405588947
Atlantic Energy Services Ltd,"193 Business Park, City_31, UK",Singapore,Financial Advisory,Professional Indemnity,BMS Group,Energy,16-01-2026,5,1375914,5134624,12090004,0.4247,435535076
Silverstone Shipping Ltd,"148 Business Park, City_17, UK",United States,Oil & Gas Services,General Liability,BMS Group,Energy,17-03-2026,0,898333,2353777,3800706,0.6193,1173046387
BlueWave Industries Ltd,"22 Business Park, City_16, UK",France,Electronics Manufacturing,General Liability,WTW London,Marine,20-03-2026,2,1672241,2072816,13892875,0.1492,877177916
Trinity Group PLC,"222 Business Park, City_56, UK",United States,Marine Shipping,Marine Hull,WTW London,Casualty,24-02-2026,3,3540136,9745468,14048534,0.6937,1347609839
Northbridge Energy Services Ltd,"9 Business Park, City_7, UK",Singapore,Oil & Gas Services,Industrial All Risks,Lockton Companies,Casualty,04-02-2026,0,2971865,3315013,11490513,0.2885,102918328
Silverstone Industries Ltd,"169 Business Park, City_115, UK",United States,Construction Contractor,General Liability,Aon UK Ltd,Property Damage & BI,18-01-2026,0,1535920,1791520,7629987,0.2348,54985317
Summit Industries Ltd,"95 Business Park, City_91, UK",Singapore,Electronics Manufacturing,Professional Indemnity,Gallagher London,Property Damage & BI,15-02-2026,2,2038932,4139326,10679377,0.3876,1169379390
Silverstone Group PLC,"243 Business Park, City_110, UK",Netherlands,Manufacturing,Professional Indemnity,WTW London,Financial Lines,07-03-2026,2,1204385,1352404,1983288,0.6819,652470827
Ironclad Group PLC,"213 Business Park, City_103, UK",Netherlands,Oil & Gas Services,Products Liability,Lockton Companies,Energy,20-01-2026,0,4195085,4903902,4982122,0.9843,1117274626
Everest Energy Services Ltd,"19 Business Park, City_102, UK",Singapore,Manufacturing,Marine Hull,Howden UK,Property Damage & BI,27-01-2026,0,236805,869166,6390929,0.136,709584603
Oakridge Industries Ltd,"49 Business Park, City_67, UK",United States,Manufacturing,Marine Hull,Howden UK,Casualty,02-01-2026,6,1371036,2994723,3055217,0.9802,36100826
Highland Engineering Ltd,"19 Business Park, City_170, UK",United Kingdom,Oil & Gas Services,Energy Offshore,Marsh Ltd,Financial Lines,07-02-2026,5,89734,216657,316381,0.6848,1485524650
Greenfield Energy Services Ltd,"250 Business Park, City_82, UK",Germany,Electronics Manufacturing,General Liability,Marsh Ltd,Casualty,06-01-2026,1,2899859,3551354,14245306,0.2493,1060678521
Harbour Capital Partners Ltd,"172 Business Park, City_143, UK",Netherlands,Construction Contractor,Professional Indemnity,Gallagher London,Products Liability,13-02-2026,5,1462125,6991821,8620172,0.8111,570887806
Highland Technologies Ltd,"235 Business Park, City_89, UK",Germany,Retail & Distribution,Products Liability,Marsh Ltd,Property Damage & BI,12-01-2026,1,197790,1508070,5045400,0.2989,952310416
Sterling Engineering Ltd,"144 Business Park, City_15, UK",Netherlands,Financial Advisory,Industrial All Risks,Aon UK Ltd,Casualty,07-03-2026,2,3967719,9445919,10837448,0.8716,900919734
Harbour Logistics Ltd,"84 Business Park, City_198, UK",Netherlands,Food Processing,General Liability,Marsh Ltd,Casualty,22-02-2026,1,4513233,5041347,13231882,0.381,881893860
Atlantic Logistics Ltd,"140 Business Park, City_52, UK",France,Manufacturing,Products Liability,Gallagher London,Marine,22-03-2026,2,183248,359910,593422,0.6065,536013384
Northbridge Energy Services Ltd,"55 Business Park, City_185, UK",Singapore,Oil & Gas Services,General Liability,Gallagher London,Property Damage & BI,24-02-2026,1,4782328,7984512,14425497,0.5535,1241523944
BlueWave Technologies Ltd,"223 Business Park, City_83, UK",France,Financial Advisory,Industrial All Risks,Howden UK,Property Damage & BI,12-03-2026,2,2071480,3894787,9087231,0.4286,888942508
Northbridge Capital Partners Ltd,"72 Business Park, City_176, UK",Singapore,Food Processing,Products Liability,Gallagher London,Casualty,11-03-2026,6,1558685,2976787,4387953,0.6784,332562211
Atlantic Shipping Ltd,"118 Business Park, City_146, UK",Netherlands,Manufacturing,Products Liability,Gallagher London,Casualty,13-01-2026,3,2026391,2888796,6710329,0.4305,1272639359
Trinity Engineering Ltd,"41 Business Park, City_34, UK",United Kingdom,Marine Shipping,Marine Hull,Gallagher London,Financial Lines,19-01-2026,1,868542,1570619,7956532,0.1974,545659556
Crown Foods Ltd,"180 Business Park, City_173, UK",Singapore,Oil & Gas Services,Professional Indemnity,Gallagher London,Casualty,30-03-2026,6,1854956,3508607,7355571,0.477,1071882233
Everest Shipping Ltd,"112 Business Park, City_105, UK",United States,Manufacturing,Products Liability,Marsh Ltd,Casualty,25-01-2026,1,3431896,3816854,10625987,0.3592,836934386
Greenfield Technologies Ltd,"99 Business Park, City_29, UK",Netherlands,Construction Contractor,General Liability,Gallagher London,Energy,14-03-2026,1,890035,4164514,12543718,0.332,746121169
Sterling Technologies Ltd,"1 Business Park, City_39, UK",France,Manufacturing,Energy Offshore,Marsh Ltd,Financial Lines,03-01-2026,4,19830,760186,1568041,0.4848,1152087355
Oakridge Logistics Ltd,"160 Business Park, City_175, UK",Netherlands,Manufacturing,Marine Hull,Howden UK,Casualty,12-01-2026,4,609735,5801454,9568621,0.6063,935960113
Greenfield Foods Ltd,"112 Business Park, City_23, UK",United States,Construction Contractor,Products Liability,Howden UK,Energy,09-03-2026,1,206244,2123171,5038376,0.4214,909053688
Ironclad Engineering Ltd,"195 Business Park, City_135, UK",Germany,Food Processing,Marine Hull,Howden UK,Casualty,30-03-2026,5,479095,2876372,8853100,0.3249,481535233
Greenfield Engineering Ltd,"70 Business Park, City_125, UK",Germany,Retail & Distribution,Professional Indemnity,Aon UK Ltd,Financial Lines,31-01-2026,2,1644555,4392806,4555436,0.9643,1273210095
Northbridge Industries Ltd,"236 Business Park, City_98, UK",Singapore,Manufacturing,Marine Hull,Gallagher London,Financial Lines,13-02-2026,0,528708,650621,1911344,0.3404,327484808
